,heuristic,solution_len,acc,beam_width
441,mult_heuristic,1825,True,5
442,sum_heuristic,1313,False,2
443,mult_heuristic,1096,True,2
444,sum_heuristic,590,True,2
445,mult_heuristic,3521,False,3
446,sum_heuristic,233,True,1
447,sum_heuristic,1959,True,5
448,sum_heuristic,2123,True,5
449,sum_heuristic,790,True,3
450,sum_heuristic,6185,False,4
451,mult_heuristic,6233,False,4
452,mult_heuristic,3570,False,3
453,sum_heuristic,1300,True,4
454,mult_heuristic,6541,False,4
455,sum_heuristic,10035,False,5
456,mult_heuristic,1288,False,2
457,mult_heuristic,823,True,2
458,sum_heuristic,447,True,2
459,sum_heuristic,1209,False,2
460,mult_heuristic,1234,False,2
461,mult_heuristic,1245,False,2
462,sum_heuristic,9626,False,5
463,mult_heuristic,2246,True,5
464,mult_heuristic,9678,False,5
465,sum_heuristic,479,True,2
466,sum_heuristic,2262,True,3
467,sum_heuristic,289,False,1
468,sum_heuristic,1756,True,5
469,mult_heuristic,306,False,1
470,sum_heuristic,3458,False,3
471,sum_heuristic,1820,True,5
472,mult_heuristic,6267,False,4
473,mult_heuristic,233,True,1
474,mult_heuristic,1611,True,4
475,sum_heuristic,298,False,1
476,sum_heuristic,3365,False,3
477,mult_heuristic,1318,False,2
478,mult_heuristic,9448,False,5
479,mult_heuristic,3460,False,3
480,mult_heuristic,274,False,1
481,sum_heuristic,3455,False,3
482,sum_heuristic,6397,False,4
483,mult_heuristic,492,True,2
484,mult_heuristic,299,False,1
485,sum_heuristic,1403,True,4
486,sum_heuristic,1274,False,2
487,sum_heuristic,1223,False,2
488,mult_heuristic,6528,False,4
489,mult_heuristic,248,True,1
490,sum_heuristic,6324,False,4
491,sum_heuristic,1269,False,2
492,sum_heuristic,1279,False,2
493,sum_heuristic,1065,True,2
494,mult_heuristic,6118,False,4
495,sum_heuristic,1849,True,5
496,mult_heuristic,1405,True,3
497,sum_heuristic,2182,True,4
498,mult_heuristic,4281,True,4
499,mult_heuristic,1854,True,5
500,mult_heuristic,1253,True,4
501,sum_heuristic,315,False,1
502,sum_heuristic,1330,True,4
503,sum_heuristic,2039,True,3
504,mult_heuristic,1220,True,4
505,sum_heuristic,976,True,3
506,mult_heuristic,1241,True,4
507,sum_heuristic,1342,True,4
508,sum_heuristic,854,True,3
509,sum_heuristic,2170,True,4
510,sum_heuristic,6138,False,4
511,sum_heuristic,6177,False,4
512,sum_heuristic,6147,False,4
513,mult_heuristic,865,True,3
514,mult_heuristic,1281,False,2
515,mult_heuristic,297,False,1
516,mult_heuristic,223,True,1
517,sum_heuristic,287,False,1
518,sum_heuristic,5101,True,5
519,sum_heuristic,9931,False,5
520,mult_heuristic,1232,False,2
521,mult_heuristic,3367,False,3
522,mult_heuristic,1281,True,4
523,sum_heuristic,3575,False,3
